"id_cliente","nome","sobrenome","cpf","data_nascimento","data_cadastro","complemento_endereco","telefone","status","id_endereco"
"1","Arthur","Silva","11122233344","1990-06-30T00:00:00.000Z","2010-05-22T00:00:00.000Z","casa 29","83999992568","ativo","4"
"2","Marcos","Simão","11122233355","1965-02-01T00:00:00.000Z","2000-07-23T00:00:00.000Z","casa29","83999668877","ativo","4"
"3","Juliane","Andrade","11122233366","1994-12-10T00:00:00.000Z","2015-08-15T00:00:00.000Z","numero 1965","83986995544","ativo","2"
"4","Barbara","Oliveira","11122233377","1992-12-30T00:00:00.000Z","2015-05-20T00:00:00.000Z","casa 19 quadra 3","92966558877","ativo","7"
"5","Bruno","Costa","11122233388","1980-07-30T00:00:00.000Z","2000-12-25T00:00:00.000Z","casa 88	","92955887744","ativo","8"
"6","Luciana","Menezes","11122233399","1950-09-30T00:00:00.000Z","1990-09-17T00:00:00.000Z","casa 29","87966887722	","ativo","1"
"7","Marina","Mendes","11122233410","2000-05-25T00:00:00.000Z","2020-07-25T00:00:00.000Z","condominio joaquim melo","83988775566","ativo","5"
"8","Fernando","Silva","11122233421","1990-04-15T00:00:00.000Z","2020-05-17T00:00:00.000Z","casa 75","81977558822","inativo","6"
"9","Flavio","Andrade","11122233432","1989-07-30T00:00:00.000Z","2010-08-02T00:00:00.000Z","casa 89","81966332255","ativo","10"
"10","Joaquim","Costa","11122233443","1970-01-05T00:00:00.000Z","1994-10-13T00:00:00.000Z","casa 77","81988445533","ativo","9"
